time,seconds_elapsed,dBFS
1684213340405000000,0,-42.93730163574219
1684213340480000000,0.075,-43.70827865600586
1684213340580000000,0.175,-38.14931106567383
1684213340681000000,0.276,-41.28387451171875
1684213340781000000,0.376,-44.168575286865234
1684213340881000000,0.476,-37.28063201904297
1684213340981000000,0.576,-39.839447021484375
1684213341081000000,0.676,-39.35369110107422
1684213341181000000,0.776,-23.87672996520996
1684213341281000000,0.876,-27.901615142822266
1684213341381000000,0.976,-32.963340759277344
1684213341499000000,1.094,-25.48009490966797
1684213341616000000,1.211,-25.556102752685547
1684213341716000000,1.311,-25.79327964782715
1684213341832000000,1.427,-29.57213592529297
1684213341949000000,1.544,-32.588417053222656
1684213342048000000,1.643,-35.614986419677734
1684213342148000000,1.743,-38.41869354248047
1684213342248000000,1.843,-32.891876220703125
1684213342349000000,1.944,-30.339466094970703
1684213342465000000,2.06,-34.58112716674805
1684213342582000000,2.177000244140625,-38.45209884643555
1684213342699000000,2.294,-41.263023376464844
1684213342799000000,2.394,-40.847259521484375
1684213342915000000,2.51,-41.69331359863281
1684213343032000000,2.627,-35.88125228881836
1684213343148000000,2.743,-39.456974029541016
1684213343249000000,2.844,-42.258419036865234
1684213343349000000,2.944,-44.210994720458984
1684213343465000000,3.06,-47.032840728759766
1684213343582000000,3.177000244140625,-45.89838409423828
1684213343698000000,3.292999755859375,-44.460269927978516
1684213343799000000,3.394,-46.588768005371094
1684213343899000000,3.494,-47.8120002746582
1684213344015000000,3.61,-49.084739685058594
1684213344115000000,3.71,-45.93864440917969
1684213344216000000,3.811,-44.86696243286133
1684213344333000000,3.928,-47.07440948486328
1684213344449000000,4.044,-49.14671325683594
1684213344566000000,4.161000244140625,-26.459016799926758
1684213344666000000,4.260999755859375,-27.925338745117188
1684213344782000000,4.377000244140625,-27.493911743164062
1684213344899000000,4.494,-9.49482250213623
1684213344999000000,4.594,-12.786294937133789
1684213345099000000,4.694,-17.504688262939453
1684213345199000000,4.794,-21.33629608154297
1684213345299000000,4.894,-25.376541137695312
1684213345399000000,4.994,-30.370803833007812
1684213345500000000,5.095,-34.10610580444336
1684213345615000000,5.21,-38.757041931152344
1684213345732000000,5.327,-41.548484802246094
1684213345848000000,5.443,-44.0609245300293
1684213345948000000,5.543,-40.71263122558594
1684213346048000000,5.643,-44.22959899902344
1684213346149000000,5.744,-45.97123336791992
1684213346249000000,5.844,-43.514923095703125
1684213346365000000,5.96,-46.01578140258789
1684213346481000000,6.076,-41.5744743347168
1684213346582000000,6.177000244140625,-30.77935218811035
1684213346682000000,6.276999755859375,-33.32978820800781
1684213346782000000,6.377000244140625,-36.59857940673828
1684213346882000000,6.476999755859375,-40.248207092285156
1684213346981000000,6.576,-41.70416259765625
1684213347082000000,6.676999755859375,-39.529903411865234
1684213347182000000,6.777000244140625,-42.02174758911133
1684213347282000000,6.876999755859375,-44.6951904296875
1684213347382000000,6.977000244140625,-46.42547607421875
1684213347499000000,7.094,-48.4163932800293
1684213347599000000,7.194,-45.3778076171875
1684213347698000000,7.292999755859375,-33.13621520996094
1684213347815000000,7.41,-37.088504791259766
1684213347932000000,7.527,-41.45194625854492
1684213348032000000,7.627,-44.780906677246094
1684213348131000000,7.726,-46.49906539916992
1684213348232000000,7.827,-49.09638977050781
1684213348332000000,7.927,-46.635337829589844
1684213348435000000,8.03,-48.79409408569336
1684213348532000000,8.127,-47.73427963256836
1684213348648000000,8.243,-44.247047424316406
1684213348765000000,8.36,-36.507591247558594
1684213348882000000,8.476999755859374,-38.78312301635742
1684213348982000000,8.577000244140624,-40.06671142578125
1684213349082000000,8.676999755859375,-42.21269607543945
1684213349181000000,8.776,-42.76513671875
1684213349281000000,8.876,-45.20010757446289
1684213349382000000,8.977000244140624,-44.510894775390625
1684213349482000000,9.076999755859376,-45.61588668823242
1684213349582000000,9.177000244140626,-47.94529342651367
1684213349682000000,9.276999755859375,-34.919490814208984
1684213349781000000,9.376,-37.36634063720703
1684213349882000000,9.476999755859374,-41.57819366455078
1684213349981000000,9.576,-44.704708099365234
1684213350081000000,9.676,-34.68337631225586
1684213350181000000,9.776,-38.11093521118164
1684213350281000000,9.876,-41.34131622314453
1684213350381000000,9.976,-44.63827896118164
1684213350482000000,10.076999755859376,-41.739952087402344
1684213350582000000,10.177000244140626,-44.0550422668457
1684213350682000000,10.276999755859375,-46.57102584838867
1684213350781000000,10.376,-48.65310287475586
1684213350881000000,10.476,-47.670684814453125
1684213350982000000,10.577000244140624,-28.570222854614258
1684213351081000000,10.676,-30.949716567993164
1684213351182000000,10.777000244140625,-35.095191955566406
1684213351282000000,10.876999755859375,-37.633670806884766
1684213351381000000,10.976,-41.0626220703125
1684213351481000000,11.076,-44.3254280090332
1684213351581000000,11.176,-46.872352600097656
1684213351681000000,11.276,-48.89025115966797
1684213351781000000,11.376,-51.82617950439453
1684213351882000000,11.476999755859374,-53.828277587890625
1684213351981000000,11.576,-52.65038299560547
1684213352082000000,11.676999755859375,-50.88658905029297
1684213352181000000,11.776,-48.8902702331543
1684213352281000000,11.876,-51.13179016113281
1684213352381000000,11.976,-52.65830993652344
1684213352481000000,12.076,-50.165428161621094
1684213352581000000,12.176,-51.820945739746094
1684213352681000000,12.276,-46.679298400878906
1684213352781000000,12.376,-48.75404357910156
1684213352881000000,12.476,-50.02625274658203
1684213352981000000,12.576,-51.42774200439453
1684213353081000000,12.676,-54.155181884765625
1684213353181000000,12.776,-55.850013732910156
1684213353298000000,12.892999755859375,-53.04803466796875
1684213353415000000,13.01,-49.36697769165039
1684213353514000000,13.108999755859376,-51.923370361328125
1684213353615000000,13.21,-48.40020751953125
1684213353715000000,13.31,-50.99406814575195
1684213353815000000,13.41,-47.93815231323242
1684213353914000000,13.508999755859374,-48.35807418823242
1684213354014000000,13.609000244140624,-47.94171905517578
1684213354114000000,13.708999755859375,-50.7453727722168
1684213354215000000,13.81,-51.6861572265625
1684213354314000000,13.908999755859375,-52.67399215698242
1684213354414000000,14.009000244140625,-50.902610778808594
1684213354514000000,14.108999755859376,-52.45973205566406
1684213354614000000,14.209000244140626,-49.6286506652832
1684213354714000000,14.308999755859375,-51.88661193847656
1684213354814000000,14.409000244140625,-51.545127868652344
1684213354915000000,14.51,-47.951011657714844
1684213355014000000,14.609000244140624,-50.80440902709961
1684213355114000000,14.708999755859375,-47.724029541015625
1684213355214000000,14.809000244140625,-50.13217544555664
1684213355314000000,14.908999755859375,-51.32851791381836
1684213355414000000,15.009000244140625,-52.8272590637207
1684213355514000000,15.108999755859376,-47.39321517944336
1684213355615000000,15.21,-50.72917175292969
1684213355714000000,15.308999755859375,-52.525150299072266
1684213355814000000,15.409000244140625,-53.85458755493164
1684213355914000000,15.508999755859374,-55.77068328857422
1684213356014000000,15.609000244140624,-53.15371322631836
1684213356124000000,15.719,-53.07672119140625
1684213356231000000,15.826,-51.23036575317383
1684213356349000000,15.944,-51.613380432128906
1684213356465000000,16.06,-54.11616134643555
1684213356564000000,16.159,-53.911190032958984
1684213356664000000,16.259,-54.97868347167969
1684213356764000000,16.359,-56.67988967895508
1684213356865000000,16.46,-53.95688247680664
1684213356964000000,16.559,-53.46751022338867
1684213357064000000,16.659,-54.49406433105469
1684213357164000000,16.759,-53.682640075683594
1684213357264000000,16.859,-55.346073150634766
1684213357364000000,16.959,-54.79637145996094
1684213357464000000,17.059,-53.94546890258789
1684213357564000000,17.159,-53.85364532470703
1684213357665000000,17.26,-53.24146270751953
1684213357764000000,17.359,-54.717464447021484
1684213357881000000,17.476,-56.6516227722168
1684213357998000000,17.593000244140626,-57.33839416503906
1684213358098000000,17.692999755859375,-54.35932540893555
1684213358214000000,17.809000244140623,-55.28676986694336
1684213358314000000,17.908999755859377,-54.78997039794922
1684213358414000000,18.009000244140626,-50.932891845703125
1684213358514000000,18.108999755859376,-52.38785171508789
1684213358614000000,18.209000244140626,-54.75768280029297
1684213358714000000,18.308999755859375,-50.683876037597656
1684213358831000000,18.426,-52.82917785644531
1684213358947000000,18.542,-54.26069641113281
1684213359048000000,18.643,-55.460716247558594
1684213359148000000,18.743,-54.76001739501953
1684213359248000000,18.843,-55.754608154296875
1684213359348000000,18.943,-54.99031066894531
1684213359448000000,19.043,-51.42074966430664
1684213359548000000,19.143,-53.14286422729492
1684213359648000000,19.243,-49.503902435302734
1684213359748000000,19.343,-52.09681701660156
1684213359848000000,19.443,-54.064048767089844
1684213359947000000,19.542,-54.261375427246094
1684213360048000000,19.643,-52.720584869384766
1684213360148000000,19.743,-52.79233169555664
1684213360247000000,19.842,-52.63194274902344
1684213360348000000,19.943,-51.08660888671875
1684213360447000000,20.042,-53.39164733886719
1684213360548000000,20.143,-51.84051513671875
1684213360648000000,20.243,-52.836666107177734
1684213360764000000,20.359,-50.96799087524414
1684213360881000000,20.476,-51.81446838378906
1684213360981000000,20.576,-50.5052375793457
1684213361081000000,20.676,-52.31689453125
1684213361181000000,20.776,-54.18867874145508
1684213361281000000,20.876,-54.380958557128906
1684213361380000000,20.975,-50.69414138793945
1684213361481000000,21.076,-47.18425750732422
1684213361581000000,21.176,-50.2212028503418
1684213361681000000,21.276,-52.31935119628906
1684213361797000000,21.392,-54.28334045410156
1684213361897000000,21.492,-53.24430465698242
1684213361997000000,21.592,-52.13077926635742
1684213362097000000,21.692,-50.979591369628906
1684213362197000000,21.792,-52.77362060546875
1684213362297000000,21.892,-54.12588882446289
1684213362397000000,21.992,-53.1746940612793
1684213362497000000,22.092,-54.96382141113281
1684213362597000000,22.192,-56.603248596191406
