time,seconds_elapsed,dBFS
1684212913884000000,0,-39.26640319824219
1684212913947000000,0.063,-38.5688362121582
1684212914047000000,0.163,-39.633392333984375
1684212914147000000,0.263,-26.634220123291016
1684212914247000000,0.363,-23.504667282104492
1684212914348000000,0.464,-25.311500549316406
1684212914447000000,0.563,-28.642099380493164
1684212914548000000,0.664,-32.61594009399414
1684212914648000000,0.764,-36.333465576171875
1684212914747000000,0.863,-40.563961029052734
1684212914848000000,0.964,-43.41365051269531
1684212914948000000,1.064,-46.15179443359375
1684212915047000000,1.163,-48.941139221191406
1684212915147000000,1.263,-51.12672805786133
1684212915247000000,1.363,-49.24534225463867
1684212915347000000,1.463,-50.84493637084961
1684212915447000000,1.563,-47.64284133911133
1684212915547000000,1.663,-48.95863723754883
1684212915647000000,1.763,-47.10603332519531
1684212915747000000,1.863,-46.98569107055664
1684212915848000000,1.964,-41.42185974121094
1684212915947000000,2.063,-43.8753662109375
1684212916048000000,2.164,-47.198673248291016
1684212916147000000,2.263,-49.604652404785156
1684212916248000000,2.364,-49.54769515991211
1684212916348000000,2.464,-48.40348434448242
1684212916448000000,2.564,-36.460018157958984
1684212916547000000,2.663,-39.54097366333008
1684212916648000000,2.764,-43.25090789794922
1684212916748000000,2.864,-45.03440856933594
1684212916848000000,2.964,-44.8364143371582
1684212916947000000,3.063,-36.613224029541016
1684212917048000000,3.164,-34.77409362792969
1684212917148000000,3.264,-32.73447799682617
1684212917248000000,3.364,-33.93450927734375
1684212917348000000,3.464,-33.45839309692383
1684212917448000000,3.564,-34.16728210449219
1684212917550000000,3.666000244140625,-35.18364715576172
1684212917665000000,3.781,-33.74512481689453
1684212917765000000,3.881,-34.737586975097656
1684212917882000000,3.997999755859375,-34.013938903808594
1684212917998000000,4.114000244140625,-35.05369567871094
1684212918098000000,4.213999755859375,-37.82154083251953
1684212918215000000,4.331,-42.46122741699219
1684212918331000000,4.447,-45.9536018371582
1684212918431000000,4.547,-46.904502868652344
1684212918566000000,4.682000244140625,-47.524627685546875
1684212918682000000,4.797999755859375,-47.17854690551758
1684212918798000000,4.914000244140625,-47.95817184448242
1684212918898000000,5.013999755859375,-48.24787139892578
1684212918998000000,5.114000244140625,-49.83301544189453
1684212919114000000,5.229999755859375,-52.225257873535156
1684212919215000000,5.331,-54.060665130615234
1684212919331000000,5.447,-53.801795959472656
1684212919431000000,5.547,-55.357398986816406
1684212919532000000,5.648,-56.844451904296875
1684212919648000000,5.764,-56.453975677490234
1684212919748000000,5.864,-53.10757064819336
1684212919848000000,5.964,-53.53606414794922
1684212919948000000,6.064,-55.11030960083008
1684212920048000000,6.164,-56.20703887939453
1684212920148000000,6.264,-52.96438980102539
1684212920248000000,6.364,-53.72898864746094
1684212920364000000,6.48,-56.14424514770508
1684212920465000000,6.581,-54.003299713134766
1684212920597000000,6.713,-52.94995880126953
1684212920698000000,6.813999755859375,-48.23017501831055
1684212920798000000,6.914000244140625,-39.7270393371582
1684212920898000000,7.013999755859375,-42.15542221069336
1684212921014000000,7.130000244140625,-44.41151428222656
1684212921114000000,7.229999755859375,-45.80431365966797
1684212921214000000,7.330000244140625,-40.07874298095703
1684212921315000000,7.431,-32.74086380004883
1684212921431000000,7.547,-35.44961166381836
1684212921531000000,7.647,-37.224822998046875
1684212921648000000,7.764,-36.037620544433594
1684212921748000000,7.864,-34.230098724365234
1684212921865000000,7.981,-33.40782165527344
1684212921981000000,8.097,-36.31073760986328
1684212922081000000,8.197,-38.26297378540039
